,Attendance,Streak_Same_Mkt_Team
1414,22532,1
1415,13585,4
1416,17700,5
1417,17633,6
1418,16848,-1
1419,12369,-2
1420,13403,-3
1421,17019,1
1422,16852,2
1423,17688,-1
1424,16458,-2
1425,18041,1
1426,20306,2
1427,18791,-1
1428,13443,1
1429,13786,2
1430,17012,-1
1431,19596,1
1432,33318,-2
1433,16625,-1
1434,11131,1
1435,10377,2
1436,10069,2
1437,10431,-1
1438,14211,1
1439,23902,2
1440,17167,-1
1441,13614,1
1442,10761,1
1443,11417,2
1444,13260,-2
1445,15935,-2
1446,23765,-3
1447,17424,-4
1448,12871,1
1449,12476,2
1450,17666,-1
1451,16373,-1
1452,25611,1
1453,16829,1
1454,11628,2
1455,12590,2
1456,17056,-1
1457,19147,-2
1458,20004,1
1459,29281,2
1460,25338,3
1461,13125,-1
1462,12357,1
1463,19390,-1
1464,17183,-2
1465,22813,-2
1466,23195,1
1467,26746,2
1468,18323,-1
1469,20457,-2
1470,21908,-3
1471,16276,-5
1472,19466,1
1473,21610,-1
1474,23245,-1
1475,26319,1
1476,19361,-1
1477,20159,1
1478,23434,2
1479,20524,2
1480,29442,-1
1481,23836,-2
1482,15250,1
1483,18019,-1
1484,19682,1
1485,22084,-1
1486,19643,1
1487,27038,2
1488,18772,-1
1489,28061,1
1490,23853,-1
1491,24556,2
1492,19018,3
1493,22033,-1
1494,23133,-2
1495,15160,-3
1496,18015,-1
1497,23625,1
1498,22639,-1
1499,30745,1
1500,15540,2
1501,13012,-1
1502,16036,-2
1503,18236,2
1504,27146,2
1505,24020,-2
1506,34027,-1
1507,39724,-2
1508,39449,1
1509,18217,2
1510,17040,-1
1511,25598,-2
1512,32723,-5
1513,31286,-6
1514,12509,1
1515,11734,-1
1516,10799,1
1517,11107,1
1518,12553,-1
1519,13583,1
1520,14358,2
1521,18016,-1
1522,14539,1
1523,14717,2
1524,15118,4
1525,17504,4
1526,30068,5
1527,36553,6
1528,16471,2
1529,18823,2
1530,20119,-1
1531,17078,-2
1532,22908,1
1533,18605,-1
1534,20139,-1
1535,13479,-2
1536,16167,-3
1537,22182,1
1538,21652,1
1539,25873,-1
1540,26453,-2
1541,16305,3
1542,16790,-1
1543,25311,1
1544,31438,-1
1545,36074,-2
1546,37277,1
1547,28218,1
1548,27908,-1
1549,27244,1
1550,23161,-3
1551,25617,-4
1552,38634,1
1553,38554,2
1554,14741,-1
1555,14043,-2
1556,19098,-3
1557,22087,1
1558,22602,1
1559,34085,-1
1560,27595,-2
1561,15947,1
1562,25812,-1
1563,23477,1
1564,18318,2
1565,27026,-1
1566,30951,-2
1567,18899,-1
1568,18563,4
1569,27016,5
1570,26454,-1
1571,25553,-2
1572,12175,-3
1573,16802,1
1574,15886,2
1575,20026,3
1576,25230,-1
1577,22681,-2
1578,15196,1
1579,14385,-1
1580,13838,-2
1581,13940,-6
1582,15980,-7
1583,16273,-8
1584,19534,2
1585,43510,-1
1586,41533,-1
1587,39709,-2
1588,40034,1
1589,40249,2
1590,40601,-1
1591,36006,1
1592,35266,1
1593,35279,-1
1594,37338,1
1595,44002,-1
1596,43390,-2
1597,42284,1
1598,34837,-1
1599,39619,-1
1600,34190,-3
1601,36798,1
1602,39007,2
1603,35700,3
1604,41290,4
1605,41744,5
1606,41569,6
1607,35826,-1
1608,43174,-1
1609,34504,-2
1610,41770,-1
1611,39382,1
